	gene_id	case_transcript	control_transcript
1301	RERGL	ENST00000536890.1	ENST00000538724.5
1302	MSRB3	ENST00000540804.5	ENST00000535664.5
1304	PER1	ENST00000354903.9	ENST00000317276.8
1305	PER1	ENST00000581082.5	ENST00000317276.8
1306	RBMS2	ENST00000550726.5	ENST00000262031.9
1311	RGN	ENST00000397180.5	ENST00000457380.5
1313	DPYSL2	ENST00000521913.5	ENST00000311151.9
1315	CNTFR	ENST00000351266.8	ENST00000610543.4
1333	GSTM2	ENST00000369831.6	ENST00000241337.8
1344	PLAC9	ENST00000372270.6	ENST00000372263.3
1346	EDNRB	ENST00000626030.1	ENST00000334286.7
1347	EDNRB	ENST00000377211.8	ENST00000334286.7
1389	CLIP4	ENST00000401605.5	ENST00000320081.9
1394	CYP39A1	ENST00000619708.4	ENST00000275016.2
1395	DUSP22	ENST00000344450.9	ENST00000419235.6
1422	ARHGAP26	ENST00000274498.8	ENST00000378004.7
1433	SATB1	ENST00000493952.2	ENST00000491519.4
1439	PTPN21	ENST00000556564.5	ENST00000328736.7
1440	INPP1	ENST00000392329.6	ENST00000322522.8
1441	RGL1	ENST00000304685.8	ENST00000360851.3
1442	AKAP2	ENST00000259318.7	ENST00000374525.5
1443	AKAP2	ENST00000434623.6	ENST00000374525.5
1444	MYO18A	ENST00000531253.5	ENST00000527372.5
1448	LMOD1	ENST00000616739.1	ENST00000367288.4
1561	LPAR6	ENST00000345941.2	ENST00000620633.4
1573	KCNIP2	ENST00000461105.5	ENST00000348850.9
1586	LPIN1	ENST00000396097.5	ENST00000256720.6
1594	OGN	ENST00000262551.8	ENST00000375561.9
1600	KIRREL	ENST00000359209.10	ENST00000368172.1
1605	CD47	ENST00000361309.5	ENST00000355354.11
1606	THRB	ENST00000396671.6	ENST00000356447.8
1611	ALDH1A2	ENST00000558231.5	ENST00000249750.8
1617	RASL12	ENST00000434605.2	ENST00000220062.8
1619	PI16	ENST00000373674.3	ENST00000611814.4
1620	TESC	ENST00000541210.5	ENST00000335209.11
1621	PPM1F	ENST00000397495.8	ENST00000263212.9
1623	CFL2	ENST00000298159.10	ENST00000555765.5
1700	RGAG4	ENST00000609883.1	ENST00000479991.1
1726	BMX	ENST00000342014.6	ENST00000348343.10
1728	ITGA9	ENST00000422441.5	ENST00000264741.9
1729	MFSD4	ENST00000536357.2	ENST00000367147.8
1731	ADGRA3	ENST00000502482.1	ENST00000334304.9
1733	SVEP1	ENST00000401783.6	ENST00000374469.5
1735	WNT11	ENST00000621122.1	ENST00000322563.7
1743	ICAM2	ENST00000449662.6	ENST00000579788.5
1839	AK4	ENST00000546702.5	ENST00000327299.7
1844	ARIH2	ENST00000449376.5	ENST00000356401.8
1845	B3GNT5	ENST00000465010.1	ENST00000326505.3
1847	CD34	ENST00000367036.7	ENST00000356522.4
1849	PSAT1	ENST00000347159.6	ENST00000376588.3
1850	AKT3	ENST00000366539.5	ENST00000263826.9
1891	KIAA1217	ENST00000376451.4	ENST00000376454.7
1937	FAM212B	ENST00000534365.1	ENST00000357260.5
1956	TMEM242	ENST00000367144.4	ENST00000400788.8
1957	CLDN11	ENST00000486975.1	ENST00000064724.7
1958	EHBP1	ENST00000263991.9	ENST00000431489.5
1963	MPPED2	ENST00000448418.6	ENST00000358117.9
1987	PKP1	ENST00000263946.7	ENST00000367324.7
1993	PTPN14	ENST00000543945.5	ENST00000366956.9
1994	SIRPA	ENST00000622179.4	ENST00000356025.7
1997	ADD3	ENST00000356080.8	ENST00000277900.12
2001	PMP22	ENST00000312280.7	ENST00000395938.6
2015	CSDE1	ENST00000261443.9	ENST00000339438.10
2032	CARD6	ENST00000381677.4	ENST00000254691.9
2033	C10orf128	ENST00000474718.5	ENST00000374153.6
2057	ZFYVE21	ENST00000216602.10	ENST00000311141.6
2058	ZHX3	ENST00000432768.6	ENST00000309060.7
2078	AKR1C2	ENST00000380753.8	ENST00000421196.7
2083	CES2	ENST00000417689.5	ENST00000317091.8
2113	MGLL	ENST00000453507.6	ENST00000398104.5
2120	PCDHGB7	ENST00000612073.1	ENST00000398594.3
2121	PDGFRA	ENST00000508170.5	ENST00000257290.9
2122	PDZRN3	ENST00000308537.4	ENST00000462146.6
2148	ADAM15	ENST00000449910.6	ENST00000531455.5
2176	MUSTN1	ENST00000486659.5	ENST00000446157.2
2193	CX3CL1	ENST00000565912.1	ENST00000006053.6
2219	AKR1C1	ENST00000380872.8	ENST00000434459.6
2221	FCER1A	ENST00000368114.1	ENST00000368115.5
2222	WDR86-AS1	ENST00000489632.5	ENST00000480632.5
2223	pk	ENST00000375213.7	ENST00000338983.7
2229	ZNF395	ENST00000523202.5	ENST00000344423.9
2231	IGF2	ENST00000381406.8	ENST00000381395.5
2237	PRKD1	ENST00000415220.6	ENST00000616995.4
2245	KANK1	ENST00000382303.5	ENST00000382297.6
2249	SNCG	ENST00000348795.8	ENST00000372017.3
2250	C16orf89	ENST00000315997.5	ENST00000472572.7
2252	CPED1	ENST00000423795.5	ENST00000310396.9
2258	RASIP1	ENST00000222145.8	ENST00000621604.4
2259	PRNP	ENST00000379440.8	ENST00000430350.2
2260	CLYBL	ENST00000376354.5	ENST00000339105.8
2262	ADCY5	ENST00000491190.5	ENST00000462833.5
2282	ZNF521	ENST00000538137.6	ENST00000361524.7
2284	NAT8L	ENST00000423729.2	ENST00000331662.3
2285	ANKMY2	ENST00000627859.1	ENST00000306999.6
2306	CALM1	ENST00000553542.5	ENST00000356978.8
2314	TINAGL1	ENST00000537531.2	ENST00000271064.11
2349	DFFA	ENST00000377036.2	ENST00000377038.7
2361	DLC1	ENST00000358919.6	ENST00000276297.8
2380	MFAP4	ENST00000395592.6	ENST00000299610.4
2382	KANK3	ENST00000593649.5	ENST00000330915.7
2457	SPIDR	ENST00000518074.5	ENST00000297423.8
2467	PLTP	ENST00000354050.8	ENST00000477313.5
2475	SEMA3D	ENST00000444867.1	ENST00000284136.10
2522	TWIST2	ENST00000448943.2	ENST00000612363.1
2523	EVC2	ENST00000310917.6	ENST00000344408.9
2528	WLS	ENST00000354777.6	ENST00000262348.8
2533	IL6R	ENST00000622330.4	ENST00000368485.7
2535	TMOD2	ENST00000539962.6	ENST00000249700.8
2537	PINLYP	ENST00000612042.4	ENST00000599207.5
2556	DYM	ENST00000442713.6	ENST00000269445.10
2558	MMRN1	ENST00000508372.1	ENST00000264790.6
2578	WTAP	ENST00000621533.4	ENST00000337387.4
