gene_id	control_transcipt	case_transcript
DNAJC21	ENST00000382021.2	ENST00000506762.1
DNAJC21	ENST00000514237.5	ENST00000506762.1
TMEM59	ENST00000440019.5	ENST00000470395.1
TMEM59	ENST00000420738.5	ENST00000234831.9
TMEM59	ENST00000420738.5	ENST00000371348.5
TMEM59	ENST00000420738.5	ENST00000371337.3
TMEM59	ENST00000420738.5	ENST00000470395.1
TMEM59	ENST00000420738.5	ENST00000452421.5
TMEM59	ENST00000420738.5	ENST00000371341.5
TMEM59	ENST00000371344.5	ENST00000470395.1
C1orf43	ENST00000368521.9	ENST00000483282.1
C1orf43	ENST00000368521.9	ENST00000493814.1
C1orf43	ENST00000368521.9	ENST00000368516.1
C1orf43	ENST00000368521.9	ENST00000470180.1
C1orf43	ENST00000368521.9	ENST00000368518.5
C1orf43	ENST00000368521.9	ENST00000362076.8
C1orf43	ENST00000368521.9	ENST00000368519.5
GID8	ENST00000266069.4	ENST00000497101.1
C4orf3	ENST00000399075.6	ENST00000504110.1
TACO1	ENST00000258975.6	ENST00000581120.1
COMMD7	ENST00000446419.6	ENST00000278980.10
COMMD7	ENST00000474815.2	ENST00000278980.10
ITM2B	ENST00000463839.2	ENST00000607866.1
ITM2B	ENST00000463839.2	ENST00000378565.9
ITM2B	ENST00000463839.2	ENST00000378549.5
PPP1R14B	ENST00000392210.6	ENST00000542235.1
PPP1R14B	ENST00000309318.7	ENST00000542235.1
ZNF32	ENST00000374433.6	ENST00000395797.1
ZNF32	ENST00000485351.1	ENST00000395797.1
ZMAT5	ENST00000344318.3	ENST00000489010.1
ALKBH5	ENST00000541285.1	ENST00000490106.1
ALKBH5	ENST00000541285.1	ENST00000399138.4
S100A16	ENST00000368706.8	ENST00000474991.1
S100A16	ENST00000368703.6	ENST00000474991.1
S100A16	ENST00000368705.2	ENST00000474991.1
VEGFB	ENST00000541681.1	ENST00000309422.6
VEGFB	ENST00000541681.1	ENST00000543462.1
VEGFB	ENST00000541681.1	ENST00000426086.2
HIATL1	ENST00000375344.7	ENST00000428393.3
TP53INP1	ENST00000448464.6	ENST00000342697.4
CDKN2AIPNL	ENST00000458198.2	ENST00000395009.3
PSAP	ENST00000394934.4	ENST00000493143.1
PSAP	ENST00000394934.4	ENST00000394936.7
PSAP	ENST00000394934.4	ENST00000610929.3
ANP32B	ENST00000486769.1	ENST00000339399.4
ANP32B	ENST00000473205.1	ENST00000339399.4
RRP36	ENST00000244496.5	ENST00000607394.1
RRP36	ENST00000607555.1	ENST00000607394.1
FAM162A	ENST00000232125.9	ENST00000469967.1
FAM162A	ENST00000477892.5	ENST00000469967.1
MARCH9	ENST00000548358.1	ENST00000266643.5
MARCH9	ENST00000548358.1	ENST00000552279.1
MRPL54	ENST00000330133.4	ENST00000589174.1
CHPF	ENST00000535926.2	ENST00000373891.2
CHPF	ENST00000535926.2	ENST00000243776.10
CARKD	ENST00000309957.2	ENST00000424185.6
CARKD	ENST00000470164.2	ENST00000424185.6
FAM229B	ENST00000368656.6	ENST00000604268.1
