GeneId	Control_transcript	Case_transcript
CYB561A3	ENST00000540755.5	ENST00000536452.1
CYB561A3	ENST00000447532.6	ENST00000536452.1
GORASP1	ENST00000453680.5	ENST00000476334.1
GORASP1	ENST00000453680.5	ENST00000427459.4
GORASP1	ENST00000453680.5	ENST00000493938.5
GORASP1	ENST00000453680.5	ENST00000437458.3
GORASP1	ENST00000453680.5	ENST00000493851.5
GORASP1	ENST00000453680.5	ENST00000411813.5
GORASP1	ENST00000453680.5	ENST00000431601.5
GORASP1	ENST00000453680.5	ENST00000489587.1
GORASP1	ENST00000453680.5	ENST00000486133.1
GORASP1	ENST00000453680.5	ENST00000441081.1
GORASP1	ENST00000453680.5	ENST00000422110.6
GORASP1	ENST00000453680.5	ENST00000441302.6
GORASP1	ENST00000453680.5	ENST00000473827.5
GORASP1	ENST00000453680.5	ENST00000470910.5
GORASP1	ENST00000453680.5	ENST00000488479.1
GORASP1	ENST00000453680.5	ENST00000413243.3
GORASP1	ENST00000453680.5	ENST00000492064.5
GORASP1	ENST00000453680.5	ENST00000479124.1
GORASP1	ENST00000453680.5	ENST00000469471.1
GORASP1	ENST00000453680.5	ENST00000416741.5
RTKN	ENST00000484453.1	ENST00000492013.1
RTKN	ENST00000272430.9	ENST00000492013.1
RTKN	ENST00000479256.1	ENST00000492013.1
POR	ENST00000453773.5	ENST00000493973.1
POR	ENST00000412521.5	ENST00000493973.1
POR	ENST00000461988.5	ENST00000460892.1
POR	ENST00000461988.5	ENST00000487247.5
POR	ENST00000461988.5	ENST00000439269.1
POR	ENST00000461988.5	ENST00000426184.1
POR	ENST00000461988.5	ENST00000439297.1
POR	ENST00000461988.5	ENST00000448410.5
POR	ENST00000461988.5	ENST00000493973.1
POR	ENST00000461988.5	ENST00000421059.1
POR	ENST00000461988.5	ENST00000449920.5
POR	ENST00000461988.5	ENST00000475509.1
POR	ENST00000461988.5	ENST00000496888.5
POR	ENST00000461988.5	ENST00000432753.5
POR	ENST00000461988.5	ENST00000439963.5
POR	ENST00000461988.5	ENST00000495770.1
POR	ENST00000461988.5	ENST00000412064.6
POR	ENST00000461988.5	ENST00000394893.5
POR	ENST00000461988.5	ENST00000447222.5
POR	ENST00000461988.5	ENST00000454934.5
POR	ENST00000418341.1	ENST00000493973.1
POR	ENST00000471238.5	ENST00000493973.1
POR	ENST00000414186.5	ENST00000493973.1
NAE1	ENST00000290810.7	ENST00000562757.5
NAE1	ENST00000290810.7	ENST00000562428.6
NAE1	ENST00000290810.7	ENST00000359087.8
NAE1	ENST00000290810.7	ENST00000566663.5
NAE1	ENST00000290810.7	ENST00000569348.5
NAE1	ENST00000290810.7	ENST00000568672.1
NAE1	ENST00000290810.7	ENST00000567743.5
NAE1	ENST00000290810.7	ENST00000569963.1
NAE1	ENST00000290810.7	ENST00000563419.5
NAE1	ENST00000290810.7	ENST00000562074.2
NAE1	ENST00000290810.7	ENST00000565535.5
NAE1	ENST00000290810.7	ENST00000566336.5
NAE1	ENST00000290810.7	ENST00000394074.6
NAE1	ENST00000290810.7	ENST00000567521.1
NAE1	ENST00000290810.7	ENST00000563221.5
RPAP1	ENST00000304330.8	ENST00000568413.1
RPAP1	ENST00000304330.8	ENST00000565035.1
RPAP1	ENST00000304330.8	ENST00000561631.1
RPAP1	ENST00000304330.8	ENST00000562303.5
RPAP1	ENST00000304330.8	ENST00000561603.5
RPAP1	ENST00000304330.8	ENST00000563293.1
RPAP1	ENST00000304330.8	ENST00000569829.1
RPAP1	ENST00000304330.8	ENST00000564934.1
RPAP1	ENST00000304330.8	ENST00000565167.1
RPAP1	ENST00000566863.1	ENST00000565167.1
RPAP1	ENST00000567866.5	ENST00000565167.1
BCAT2	ENST00000601681.5	ENST00000545387.6
BCAT2	ENST00000316273.10	ENST00000545387.6
BCAT2	ENST00000598162.5	ENST00000545387.6
BCAT2	ENST00000597011.5	ENST00000545387.6
BCAT2	ENST00000596981.1	ENST00000545387.6
FTSJ3	ENST00000427159.6	ENST00000580129.2
FTSJ3	ENST00000427159.6	ENST00000583202.5
FTSJ3	ENST00000427159.6	ENST00000583901.1
FTSJ3	ENST00000427159.6	ENST00000580295.1
FTSJ3	ENST00000427159.6	ENST00000585145.1
FTSJ3	ENST00000427159.6	ENST00000580290.2
FTSJ3	ENST00000427159.6	ENST00000580376.5
FTSJ3	ENST00000427159.6	ENST00000577263.5
